ID,MessageName,Message
CA1000,Default,Remove {0} from {1} or make it an instance member.
CA1001,DependsOnFix,"Implement IDisposable on {0} because it creates members of the following IDisposable types: {1}. If {0} has previously shipped, adding new members that implement IDisposable to this type is considered a breaking change to existing consumers."
CA1001,NonBreaking,Implement IDisposable on {0} because it creates members of the following IDisposable types: {1}.
CA1002,Default,"Change {0} in {1} to use Collection&lt;T&gt;, ReadOnlyCollection&lt;T&gt; or KeyedCollection&lt;K,V&gt;"
CA1003,VB,"Visual Basic generates EventHandler delegates for events that use the following pattern: Event MyEvent(ByVal Sender As Object, ByVal e as MyEventArgs). Change the event that defines EventHandler {0} to use EventHandler&lt;T&gt; by defining the event type explicitly, e.g. Event MyEvent As EventHandler(Of MyEventArgs)."
CA1003,Default,Remove {0} and replace its usage with EventHandler&lt;T&gt;
CA1004,Default,Consider a design where {0} doesn't require explicit type parameter {1} in any call to it.
CA1005,Default,Consider a design where {0} has no more than 2 type parameters.
CA1006,Default,Consider a design where {0} doesn't nest generic type {1}.
CA1007,Default,Consider using generics instead of a reference to System.Object in {0}.
CA1008,FlagsRename,"In enum {0}, change the name of {1} to 'None'."
CA1008,FlagsMultipleZeros,Remove all members that have the value zero from {0} except for one member that is named 'None'.
CA1008,NotFlagsNoZeroValue,Add a member to {0} that has a value of zero with a suggested name of 'None'.
CA1009,Return,Change {0} to return void.
CA1009,First,Declare the first parameter of {0} as an object named 'sender'.
CA1009,Second,"Declare the second parameter of {0} as an EventArgs, or an instance of a type that extends EventArgs, named 'e'."
CA1009,TooMany,Remove all but the first two parameters of {0}.
CA1010,Default,"{0} appears to be a non-generic, strongly typed collection. Add an implementation to the instance of {1}&lt;T&gt; where T is the underlying element type of {0}."
CA1011,Default,Consider changing the type of parameter {0} in {1} from {2} to its base type {3}. This method appears to only require base class members in its implementation. Suppress this violation if there is a compelling reason to require the more derived type in the method signature.
CA1012,Default,Change the accessibility of all public constructors in {0} to protected.
CA1013,Default,Consider adding an overload of the equality operator for {0} that takes the same parameters as {1}.
CA1014,Default,Mark {0} with CLSCompliant(true) because it exposes externally visible types.
CA2210,NoStrongName,Sign {0} with a strong name key.
CA2210,NotValid,Verify that {0} has a valid strong name before deploying.
CA1016,Default,Add an AssemblyVersion attribute to {0}.
CA1017,NoAttribute,"Because {0} exposes externally visible types, mark it with ComVisible(false) at the assembly level and then mark all types within the assembly that should be exposed to COM clients with ComVisible(true)."
CA1017,AttributeTrue,"Consider changing the ComVisible attribute on {0} to false, and opting in at the type level."
CA1018,Default,Specify AttributeUsage on {0}.
CA1018,Inherited,"Even though attribute {0} inherits AttributeUsage from its base type, you should consider explicitly specifying AttributeUsage on the type to improve code readability and documentation."
CA1019,Default,Add a public read-only property accessor for positional argument {0} of Attribute {1}.
CA1019,RemoveSetter,Remove the property setter from {0} or reduce its accessibility because it corresponds to positional argument {1}.
CA1019,IncreaseVisibility,"If {0} is the property accessor for positional argument {1}, make it public."
CA1020,Default,Consider merging the types defined in '{0}' with another namespace.
CA1021,Default,Consider a design that does not require that {0} be an out parameter.
CA1023,Default,Redesign indexer {0} to use a single string or integer value as its index.
CA1024,Default,Change {0} to a property if appropriate.
CA1025,Default,Consider implementing a version of {0} that accepts a parameter array argument.
CA1026,Default,Replace method {0} with an overload that supplies all default arguments.
